SEP1
19 perturbation point
N Excecution Enactor
PONE : Numerical Perturbator
20 string of 100 char
Random char generated with 23 as seed
All Result : detail per task
Task       IndexLoc   #Success   #Failure   #Exception #Call      #Enaction  #ExeWOPer  %Success                   
9          304        1          0          0          1          1          1          -------------------- 100,00
9          305        256        0          1          66048      257        257        -------------------- 99,61 
9          306        257        0          0          66050      257        257        -------------------- 100,00
9          308        177        0          79         65536      256        256        -------------- 69,14       
9          309        0          1          0          1          1          1           0,00                      
9          310        99         0          0          9801       99         99         -------------------- 100,00
9          312        0          99         0          9801       99         99          0,00                      
9          313        0          0          0          0          0          0           NaN                       
9          314        0          0          0          0          0          0           NaN                       
9          316        0          0          0          0          0          0           NaN                       
9          317        0          0          99         4950       99         99          0,00                      
9          318        1          0          0          1          1          1          -------------------- 100,00
9          319        1          0          0          1          1          1          -------------------- 100,00
9          320        256        0          1          66048      257        257        -------------------- 99,61 
9          321        257        0          0          66050      257        257        -------------------- 100,00
9          323        176        80         0          65536      256        256        -------------- 68,75       
9          325        0          99         0          9801       99         99          0,00                      
9          327        0          1          0          1          1          1           0,00                      
10         303        1          0          0          1          1          1          -------------------- 100,00
10         304        1          0          0          1          1          1          -------------------- 100,00
10         305        257        0          0          66048      257        257        -------------------- 100,00
10         306        257        0          0          66050      257        257        -------------------- 100,00
10         308        172        0          84         65536      256        256        -------------- 67,19       
10         309        0          1          0          1          1          1           0,00                      
10         310        99         0          0          9801       99         99         -------------------- 100,00
10         312        0          99         0          9801       99         99          0,00                      
10         313        0          0          0          0          0          0           NaN                       
10         314        0          0          0          0          0          0           NaN                       
10         316        0          0          0          0          0          0           NaN                       
10         317        0          0          99         4950       99         99          0,00                      
10         318        1          0          0          1          1          1          -------------------- 100,00
10         319        1          0          0          1          1          1          -------------------- 100,00
10         320        257        0          0          66048      257        257        -------------------- 100,00
10         321        257        0          0          66050      257        257        -------------------- 100,00
10         323        172        84         0          65536      256        256        -------------- 67,19       
10         325        0          99         0          9801       99         99          0,00                      
10         327        0          1          0          1          1          1           0,00                      
11         303        1          0          0          1          1          1          -------------------- 100,00
11         304        1          0          0          1          1          1          -------------------- 100,00
11         305        256        0          1          66048      257        257        -------------------- 99,61 
11         306        257        0          0          66050      257        257        -------------------- 100,00
11         308        174        0          82         65536      256        256        -------------- 67,97       
11         309        0          1          0          1          1          1           0,00                      
11         310        99         0          0          9801       99         99         -------------------- 100,00
11         312        0          99         0          9801       99         99          0,00                      
11         313        0          0          0          0          0          0           NaN                       
11         314        0          0          0          0          0          0           NaN                       
11         316        0          0          0          0          0          0           NaN                       
11         317        0          0          99         4950       99         99          0,00                      
11         318        1          0          0          1          1          1          -------------------- 100,00
11         319        1          0          0          1          1          1          -------------------- 100,00
11         320        256        0          1          66048      257        257        -------------------- 99,61 
11         321        257        0          0          66050      257        257        -------------------- 100,00
11         323        173        83         0          65536      256        256        -------------- 67,58       
11         325        0          99         0          9801       99         99          0,00                      
11         327        0          1          0          1          1          1           0,00                      
12         303        1          0          0          1          1          1          -------------------- 100,00
12         304        0          0          1          1          1          1           0,00                      
12         305        256        0          1          66048      257        257        -------------------- 99,61 
12         306        257        0          0          66050      257        257        -------------------- 100,00
12         308        174        0          82         65536      256        256        -------------- 67,97       
12         309        0          1          0          1          1          1           0,00                      
12         310        99         0          0          9801       99         99         -------------------- 100,00
12         312        0          99         0          9801       99         99          0,00                      
12         313        0          0          0          0          0          0           NaN                       
12         314        0          0          0          0          0          0           NaN                       
12         316        0          0          0          0          0          0           NaN                       
12         317        0          0          99         4950       99         99          0,00                      
12         318        1          0          0          1          1          1          -------------------- 100,00
12         319        0          0          1          1          1          1           0,00                      
12         320        256        0          1          66048      257        257        -------------------- 99,61 
12         321        257        0          0          66050      257        257        -------------------- 100,00
12         323        174        82         0          65536      256        256        -------------- 67,97       
12         325        0          99         0          9801       99         99          0,00                      
12         327        0          1          0          1          1          1           0,00                      
13         303        1          0          0          1          1          1          -------------------- 100,00
13         304        1          0          0          1          1          1          -------------------- 100,00
13         305        257        0          0          66048      257        257        -------------------- 100,00
13         306        257        0          0          66050      257        257        -------------------- 100,00
13         308        170        0          86         65536      256        256        -------------- 66,41       
13         309        0          1          0          1          1          1           0,00                      
13         310        99         0          0          9801       99         99         -------------------- 100,00
13         312        0          99         0          9801       99         99          0,00                      
13         313        0          0          0          0          0          0           NaN                       
13         314        0          0          0          0          0          0           NaN                       
13         316        0          0          0          0          0          0           NaN                       
13         317        0          0          99         4950       99         99          0,00                      
13         318        1          0          0          1          1          1          -------------------- 100,00
13         319        1          0          0          1          1          1          -------------------- 100,00
13         320        257        0          0          66048      257        257        -------------------- 100,00
13         321        257        0          0          66050      257        257        -------------------- 100,00
13         323        169        87         0          65536      256        256        -------------- 66,02       
13         325        0          99         0          9801       99         99          0,00                      
13         327        0          1          0          1          1          1           0,00                      
14         303        1          0          0          1          1          1          -------------------- 100,00
14         304        1          0          0          1          1          1          -------------------- 100,00
14         305        257        0          0          66048      257        257        -------------------- 100,00
14         306        257        0          0          66050      257        257        -------------------- 100,00
14         308        177        0          79         65536      256        256        -------------- 69,14       
14         309        0          1          0          1          1          1           0,00                      
14         310        99         0          0          9801       99         99         -------------------- 100,00
14         312        0          99         0          9801       99         99          0,00                      
14         313        0          0          0          0          0          0           NaN                       
14         314        0          0          0          0          0          0           NaN                       
14         316        0          0          0          0          0          0           NaN                       
14         317        0          0          99         4950       99         99          0,00                      
14         318        1          0          0          1          1          1          -------------------- 100,00
14         319        1          0          0          1          1          1          -------------------- 100,00
14         320        257        0          0          66048      257        257        -------------------- 100,00
14         321        257        0          0          66050      257        257        -------------------- 100,00
14         323        176        80         0          65536      256        256        -------------- 68,75       
14         325        0          99         0          9801       99         99          0,00                      
14         327        0          1          0          1          1          1           0,00                      
15         303        1          0          0          1          1          1          -------------------- 100,00
15         304        1          0          0          1          1          1          -------------------- 100,00
15         305        256        0          1          66048      257        257        -------------------- 99,61 
15         306        257        0          0          66050      257        257        -------------------- 100,00
15         308        172        0          84         65536      256        256        -------------- 67,19       
15         309        0          1          0          1          1          1           0,00                      
15         310        99         0          0          9801       99         99         -------------------- 100,00
15         312        0          99         0          9801       99         99          0,00                      
15         313        0          0          0          0          0          0           NaN                       
15         314        0          0          0          0          0          0           NaN                       
15         316        0          0          0          0          0          0           NaN                       
15         317        0          0          99         4950       99         99          0,00                      
15         318        1          0          0          1          1          1          -------------------- 100,00
15         319        1          0          0          1          1          1          -------------------- 100,00
15         320        256        0          1          66048      257        257        -------------------- 99,61 
15         321        257        0          0          66050      257        257        -------------------- 100,00
15         323        172        84         0          65536      256        256        -------------- 67,19       
15         325        0          99         0          9801       99         99          0,00                      
15         327        0          1          0          1          1          1           0,00                      
16         303        1          0          0          1          1          1          -------------------- 100,00
16         304        1          0          0          1          1          1          -------------------- 100,00
16         305        257        0          0          66048      257        257        -------------------- 100,00
16         306        257        0          0          66050      257        257        -------------------- 100,00
16         308        170        0          86         65536      256        256        -------------- 66,41       
16         309        0          1          0          1          1          1           0,00                      
16         310        99         0          0          9801       99         99         -------------------- 100,00
16         312        0          99         0          9801       99         99          0,00                      
16         313        0          0          0          0          0          0           NaN                       
16         314        0          0          0          0          0          0           NaN                       
16         316        0          0          0          0          0          0           NaN                       
16         317        0          0          99         4950       99         99          0,00                      
16         318        1          0          0          1          1          1          -------------------- 100,00
16         319        1          0          0          1          1          1          -------------------- 100,00
16         320        257        0          0          66048      257        257        -------------------- 100,00
16         321        257        0          0          66050      257        257        -------------------- 100,00
16         323        170        86         0          65536      256        256        -------------- 66,41       
16         325        0          99         0          9801       99         99          0,00                      
16         327        0          1          0          1          1          1           0,00                      
17         303        1          0          0          1          1          1          -------------------- 100,00
17         304        0          0          1          1          1          1           0,00                      
17         305        257        0          0          66048      257        257        -------------------- 100,00
17         306        257        0          0          66050      257        257        -------------------- 100,00
17         308        175        0          81         65536      256        256        -------------- 68,36       
17         309        0          1          0          1          1          1           0,00                      
17         310        99         0          0          9801       99         99         -------------------- 100,00
17         312        0          99         0          9801       99         99          0,00                      
17         313        0          0          0          0          0          0           NaN                       
17         314        0          0          0          0          0          0           NaN                       
17         316        0          0          0          0          0          0           NaN                       
17         317        0          0          99         4950       99         99          0,00                      
17         318        1          0          0          1          1          1          -------------------- 100,00
17         319        0          0          1          1          1          1           0,00                      
17         320        257        0          0          66048      257        257        -------------------- 100,00
17         321        257        0          0          66050      257        257        -------------------- 100,00
17         323        174        82         0          65536      256        256        -------------- 67,97       
17         325        0          99         0          9801       99         99          0,00                      
17         327        0          1          0          1          1          1           0,00                      
18         303        1          0          0          1          1          1          -------------------- 100,00
18         304        1          0          0          1          1          1          -------------------- 100,00
18         305        257        0          0          66048      257        257        -------------------- 100,00
18         306        257        0          0          66050      257        257        -------------------- 100,00
18         308        174        0          82         65536      256        256        -------------- 67,97       
18         309        0          1          0          1          1          1           0,00                      
18         310        99         0          0          9801       99         99         -------------------- 100,00
18         312        0          99         0          9801       99         99          0,00                      
18         313        0          0          0          0          0          0           NaN                       
18         314        0          0          0          0          0          0           NaN                       
18         316        0          0          0          0          0          0           NaN                       
18         317        0          0          99         4950       99         99          0,00                      
18         318        1          0          0          1          1          1          -------------------- 100,00
18         319        1          0          0          1          1          1          -------------------- 100,00
18         320        257        0          0          66048      257        257        -------------------- 100,00
18         321        257        0          0          66050      257        257        -------------------- 100,00
18         323        173        83         0          65536      256        256        -------------- 67,58       
18         325        0          99         0          9801       99         99          0,00                      
18         327        0          1          0          1          1          1           0,00                      
19         303        1          0          0          1          1          1          -------------------- 100,00
19         304        0          0          1          1          1          1           0,00                      
19         305        257        0          0          66048      257        257        -------------------- 100,00
19         306        257        0          0          66050      257        257        -------------------- 100,00
19         308        172        0          84         65536      256        256        -------------- 67,19       
19         309        0          1          0          1          1          1           0,00                      
19         310        99         0          0          9801       99         99         -------------------- 100,00
19         312        0          99         0          9801       99         99          0,00                      
19         313        0          0          0          0          0          0           NaN                       
19         314        0          0          0          0          0          0           NaN                       
19         316        0          0          0          0          0          0           NaN                       
19         317        0          0          99         4950       99         99          0,00                      
19         318        1          0          0          1          1          1          -------------------- 100,00
19         319        0          0          1          1          1          1           0,00                      
19         320        257        0          0          66048      257        257        -------------------- 100,00
19         321        257        0          0          66050      257        257        -------------------- 100,00
19         323        171        85         0          65536      256        256        -------------- 66,80       
19         325        0          99         0          9801       99         99          0,00                      
19         327        0          1          0          1          1          1           0,00                      
